game_id,id_play,pos_team,def_pos_team,pos_team_score,def_pos_team_score,period,clock.minutes,clock.seconds,down,distance,yards_to_goal,play_text
401404052,4.0140405210186803e+17,Kansas,Tennessee Tech,0,0,1,13,19,3,10,40,Jalon Daniels pass complete to Lawrence Arnold for 21 yds to the TnTch 19 for a 1ST down
401404052,401404052102859900,Kansas,Tennessee Tech,21,3,2,14,0,3,7,32,Jalon Daniels pass complete to Lawrence Arnold for 13 yds to the TnTch 19 for a 1ST down
401404052,401404052102859900,Kansas,Tennessee Tech,21,3,2,14,0,3,2,2,Sevion Morrison run for no gain to the TnTch 2
401404052,4.0140405210293523e+17,Kansas,Tennessee Tech,21,3,2,6,47,3,1,13,Daniel Hishaw Jr. run for 4 yds to the TnTch 9 for a 1ST down
401404052,401404052102967600,Kansas,Tennessee Tech,28,3,2,3,23,3,11,11,"Jalon Daniels run for 11 yds for a TD, (Jacob Borcila KICK)"
401404052,401404052103849900,Kansas,Tennessee Tech,35,3,3,15,0,3,3,68,Jalon Daniels run for 21 yds to the TnTch 47 for a 1ST down
401404052,401404052103849900,Kansas,Tennessee Tech,35,3,3,15,0,3,2,39,Daniel Hishaw Jr. run for 13 yds to the TnTch 26 for a 1ST down
401404052,401404052103849900,Kansas,Tennessee Tech,35,3,3,15,0,3,6,22,Jalon Daniels pass incomplete to Quentin Skinner
401404065,401404065101e6,Kansas,West Virginia,0,13,1,0,0,3,16,86,"pass incomplete to Quentin Skinner KANSAS Penalty, illegal shift. (Craig Young) to the Kans 14"
401404065,401404065101e6,Kansas,West Virginia,0,14,1,0,0,3,4,34,Daniel Hishaw Jr. run for 2 yds to the WVirg 32
401404065,401404065102e6,Kansas,West Virginia,19,27,2,0,0,3,6,71,Jalon Daniels pass complete to Lawrence Arnold for 9 yds to the Kans 38 for a 1ST down
401404065,401404065102e6,Kansas,West Virginia,19,27,2,0,0,3,1,53,Jalon Daniels pass complete to Luke Grimm for 20 yds to the WVirg 33 for a 1ST down
